Type,Field,total,mismatch_count,accuracy_rate,Model
Search Warrant,to.bank,6,0,100.00%,cycle2_final32B_full60
Search Warrant,to.name,6,0,100.00%,cycle2_final32B_full60
Search Warrant,transaction_references.0,6,0,100.00%,cycle2_final32B_full60
UAR,amount,18,1,94.44%,cycle2_final32B_full60
UAR,can_be_located,18,0,100.00%,cycle2_final32B_full60
UAR,cancel_amount_requested,18,2,88.89%,cycle2_final32B_full60
UAR,channel,18,2,88.89%,cycle2_final32B_full60
UAR,currency,18,0,100.00%,cycle2_final32B_full60
UAR,date,18,0,100.00%,cycle2_final32B_full60
UAR,from.account_number,18,0,100.00%,cycle2_final32B_full60
UAR,from.bank,18,6,66.67%,cycle2_final32B_full60
UAR,from.name,18,4,77.78%,cycle2_final32B_full60
UAR,to.account_number,18,0,100.00%,cycle2_final32B_full60
UAR,to.bank,18,7,61.11%,cycle2_final32B_full60
UAR,to.name,18,12,33.33%,cycle2_final32B_full60
UAR,transaction_references.0,18,0,100.00%,cycle2_final32B_full60
